Year Electricity SO2 NOx Capital Employees Coal_hc Oil_hc Gas_hc CAA
85 1100419.07453425 14426.1905753425 4727.87161643836 107042101395.552 20115 3282955.65629404 8641.60893866647 2636.87589129205 0
86 1094239.34788219 14200.2380821918 4704.08293150685 108775134806.755 20135 3286185.40438019 7456.07112804043 3108.0947958074 0
87 1087407.91591233 13935.4451780822 4597.89619178082 109761534046.337 20146 3241999.74169279 7496.06375921432 3802.38441094575 0
88 1115921.37190137 14047.0837534247 4769.21082191781 110180161526.173 19893 3334454.82179951 7492.8852799251 3214.83944393671 0
89 1155364.23106849 15019.2670410959 4982.99556164384 112180026363.07 19777 3451902.14744238 7410.28875304027 3865.26925761644 0
90 1150050.70745205 14880.5189863014 4837.72230136986 112986438028.472 19432 3421880.41251724 6991.81384073078 5124.48453969041 92
91 1116239.65780822 14454.004 4649.42876712329 116103050889.704 19247 3338688.5853644 7763.57244706413 5523.9008886189 92
92 1140159.11950685 14550.7870684932 4636.81484931507 117369737406.891 18670 3377117.47816565 6433.08112711203 5357.56655567342 92
93 1158483.96025205 13908.9281917808 4642.26852054795 118482686106.362 18513 3432351.16921832 7188.76475601449 5451.84653285233 92
94 1135351.14168219 13402.3907945205 4330.12964383562 120526734362.819 17876 3370818.10844017 8051.11127828128 5721.45723944904 92
95 1181261.05623288 10270.0198630137 4409.45131506849 121731463477.692 17040 3467185.27818512 6759.95909384555 5651.74367789151 92
